name,hour,day,weekday,month,year,availableSpotNumber,total,occupation
Cervantes,1,14,1,11,2021,283,409,0.31
El Palo,1,14,1,11,2021,72,127,0.43
Av. de Andalucía,1,14,1,11,2021,467,613,0.24
Camas,1,14,1,11,2021,194,350,0.45
Cruz De Humilladero,1,14,1,11,2021,93,217,0.57
Alcazaba,1,14,1,11,2021,186,378,0.51
San Juan De La Cruz,1,14,1,11,2021,279,487,0.43
Pz. de la Marina,1,14,1,11,2021,0,430,1
Tejón y Rodriguez,1,14,1,11,2021,40,187,0.79
Salitre,0,14,1,11,2021,216,435,0.5
Cervantes,0,14,1,11,2021,264,409,0.35
El Palo,0,14,1,11,2021,73,127,0.43
Av. de Andalucía,0,14,1,11,2021,461,613,0.25
Camas,0,14,1,11,2021,194,350,0.45
Cruz De Humilladero,0,14,1,11,2021,92,217,0.58
Alcazaba,0,14,1,11,2021,186,378,0.51
San Juan De La Cruz,0,14,1,11,2021,278,487,0.43
Pz. de la Marina,0,14,1,11,2021,0,430,1
Tejón y Rodriguez,0,14,1,11,2021,29,187,0.84
Salitre,23,13,7,11,2021,216,435,0.5
Cervantes,23,13,7,11,2021,248,409,0.39
El Palo,23,13,7,11,2021,73,127,0.43
Av. de Andalucía,23,13,7,11,2021,445,613,0.27
Camas,23,13,7,11,2021,194,350,0.45
Cruz De Humilladero,23,13,7,11,2021,92,217,0.58
Alcazaba,23,13,7,11,2021,186,378,0.51
San Juan De La Cruz,23,13,7,11,2021,277,487,0.43
Pz. de la Marina,23,13,7,11,2021,0,430,1
Tejón y Rodriguez,23,13,7,11,2021,29,187,0.84
Salitre,22,13,7,11,2021,201,435,0.54
Cervantes,22,13,7,11,2021,199,409,0.51
El Palo,22,13,7,11,2021,71,127,0.44
Av. de Andalucía,22,13,7,11,2021,367,613,0.4
Camas,22,13,7,11,2021,194,350,0.45
Cruz De Humilladero,22,13,7,11,2021,91,217,0.58
Alcazaba,22,13,7,11,2021,186,378,0.51
San Juan De La Cruz,22,13,7,11,2021,275,487,0.44
Pz. de la Marina,22,13,7,11,2021,0,430,1
Tejón y Rodriguez,22,13,7,11,2021,25,187,0.87
